frame,raw_detection_count,target_detection_count,active_track_count,decode_ms,queue_wait_ms,inference_tracking_ms,state_build_ms,consumer_total_ms,instant_consumer_fps
190,23,23,23,18.451,0.025,25.828,3.693,29.525,33.869
191,22,22,22,18.483,0.026,26.355,3.803,30.162,33.154
192,24,24,24,18.446,0.026,25.693,4.147,29.843,33.509
193,23,23,23,18.005,0.025,25.769,3.869,29.641,33.737
194,24,24,24,18.565,0.025,25.461,3.976,29.44,33.967
195,26,26,26,18.778,0.025,25.878,4.421,30.302,33.001
196,24,24,24,19.015,0.025,25.808,3.836,29.647,33.73
197,23,23,23,18.429,0.026,25.583,3.749,29.336,34.088
198,26,26,26,18.823,0.027,25.596,4.342,29.941,33.399
199,23,23,23,18.776,0.024,25.211,3.786,29.0,34.483
200,23,23,23,18.969,0.025,25.601,3.758,29.363,34.057
201,24,24,24,18.425,0.023,28.797,4.037,32.837,30.453
202,22,22,22,19.072,0.027,25.032,3.585,28.621,34.939
203,22,22,22,19.064,0.026,24.83,3.86,28.694,34.85
204,22,22,22,18.646,0.024,25.297,3.725,29.025,34.453
205,23,23,23,18.937,0.023,25.18,3.837,29.021,34.458
206,22,22,22,18.072,0.024,25.007,3.551,28.562,35.012
207,23,23,23,18.6,0.025,25.063,3.762,28.829,34.687
208,24,24,24,18.381,0.023,28.617,4.108,32.729,30.554
209,23,23,23,18.685,0.024,25.456,3.722,29.182,34.267
210,22,22,22,19.016,0.024,25.887,3.479,29.37,34.049
211,23,23,23,18.537,0.022,26.875,3.694,30.573,32.708
212,23,23,23,18.454,0.025,25.842,4.031,29.877,33.471
213,23,23,23,18.419,0.023,25.622,3.828,29.454,33.951
214,24,24,24,18.985,0.024,25.409,3.782,29.194,34.253
215,23,23,23,19.355,0.024,26.24,3.913,30.157,33.16
216,25,25,25,20.01,0.025,25.986,4.135,30.124,33.196
217,24,24,24,18.425,0.025,25.647,3.911,29.563,33.827
218,25,25,25,19.078,0.027,26.252,4.089,30.345,32.954
219,24,24,24,18.743,0.023,28.265,3.934,32.202,31.054
220,23,23,23,19.372,0.025,25.537,3.725,29.265,34.17
221,25,25,25,19.121,0.024,25.172,4.43,29.606,33.777
222,23,23,23,18.578,0.025,25.452,3.836,29.292,34.138
223,22,22,22,18.122,0.025,25.454,3.52,28.977,34.51
224,22,22,22,20.344,0.024,25.724,3.557,29.284,34.148
225,21,21,21,18.603,0.028,25.857,3.703,29.565,33.824
226,23,23,23,18.218,0.025,26.153,3.797,29.954,33.385
227,22,22,22,18.261,0.025,26.752,3.802,30.558,32.724
