frame,raw_detection_count,target_detection_count,active_track_count,decode_ms,queue_wait_ms,inference_tracking_ms,state_build_ms,consumer_total_ms,instant_consumer_fps
224,7,7,7,12.318,0.021,18.205,1.109,19.317,51.769
225,7,7,7,12.31,0.021,17.845,1.239,19.088,52.39
226,6,6,6,12.251,0.021,17.742,1.037,18.781,53.245
227,6,6,6,13.987,0.022,17.695,0.963,18.661,53.587
228,6,6,6,12.302,0.021,17.823,1.028,18.855,53.037
229,6,6,6,13.512,0.022,17.846,0.954,18.803,53.183
230,6,6,6,12.269,0.024,18.412,1.035,19.45,51.414
231,8,8,8,12.301,0.024,18.669,1.172,19.845,50.392
232,7,7,7,12.316,0.022,18.825,1.122,19.95,50.125
233,10,10,10,12.377,0.02,19.106,1.493,20.603,48.538
234,10,10,10,12.312,0.021,21.422,1.576,23.001,43.477
235,8,8,8,12.299,0.019,20.471,1.338,21.813,45.845
236,9,9,9,12.254,0.021,19.58,1.368,20.952,47.729
237,8,8,8,12.29,0.022,19.112,1.248,20.363,49.109
238,9,9,9,12.25,0.021,18.694,1.372,20.069,49.828
239,8,8,8,12.296,0.022,18.977,1.214,20.195,49.517
240,9,9,9,12.248,0.023,18.69,2.025,20.717,48.268
241,8,8,8,12.267,0.022,19.002,1.251,20.256,49.367
242,7,7,7,12.251,0.021,18.531,1.13,19.664,50.853
243,7,7,7,12.396,0.021,18.155,1.216,19.374,51.617
244,7,7,7,12.274,0.02,18.326,1.096,19.426,51.477
245,7,7,7,12.323,0.022,18.676,1.109,19.788,50.537
246,7,7,7,15.644,0.021,18.631,1.105,19.739,50.661
247,7,7,7,12.321,0.023,18.457,1.163,19.624,50.959
248,8,8,8,12.355,0.022,18.772,1.227,20.002,49.994
249,7,7,7,12.273,0.021,18.31,1.159,19.472,51.355
250,7,7,7,12.199,0.026,18.443,1.172,19.618,50.973
251,7,7,7,12.261,0.023,21.423,1.137,22.564,44.319
252,8,8,8,12.236,0.024,23.481,1.242,24.727,40.441
253,10,10,10,12.211,0.043,18.486,1.477,19.966,50.086
254,10,10,10,12.215,0.023,18.542,1.533,20.079,49.803
255,12,12,12,12.202,0.023,19.041,1.849,20.893,47.862
256,11,11,11,12.171,0.022,19.011,1.65,20.665,48.392
257,11,11,11,12.135,0.023,18.691,1.536,20.231,49.43
258,10,10,10,12.241,0.023,18.834,1.393,20.23,49.431
259,9,9,9,12.279,0.024,18.874,1.36,20.237,49.414
260,11,11,11,12.237,0.024,19.39,1.604,20.997,47.626
261,10,10,10,12.277,0.022,19.443,1.482,20.927,47.785
262,8,8,8,12.196,0.022,18.998,1.308,20.31,49.237
263,7,7,7,12.268,0.024,18.703,1.104,19.81,50.48
264,9,9,9,12.274,0.027,19.494,1.414,20.912,47.819
265,9,9,9,12.23,0.024,20.254,1.429,21.687,46.111
266,8,8,8,12.355,0.022,18.799,1.259,20.061,49.849
267,9,9,9,12.276,0.021,18.371,1.398,19.772,50.576
268,9,9,9,12.26,0.024,18.808,1.329,20.14,49.652
269,9,9,9,13.508,0.021,18.778,1.358,20.14,49.652
270,10,10,10,12.331,0.024,19.157,1.481,20.641,48.447
271,8,8,8,12.345,0.023,19.014,1.301,20.318,49.216
272,7,7,7,12.366,0.021,18.746,1.136,19.886,50.286
273,8,8,8,12.341,0.022,18.915,1.236,20.155,49.616
274,9,9,9,12.378,0.025,18.717,1.431,20.152,49.622
275,9,9,9,13.548,0.023,18.222,1.382,19.608,51.0
276,9,9,9,12.355,0.022,18.537,1.401,19.941,50.147
277,9,9,9,12.31,0.022,18.897,1.407,20.307,49.244
278,8,8,8,12.318,0.021,18.711,1.271,19.985,50.037
279,7,7,7,12.422,0.021,18.864,1.133,20.0,50.0
280,7,7,7,12.375,0.021,18.535,1.178,19.717,50.718
281,6,6,6,12.307,0.02,18.661,1.035,19.7,50.762
282,6,6,6,12.323,0.022,18.615,1.068,19.686,50.797
283,6,6,6,12.323,0.02,18.722,1.012,19.738,50.662
284,7,7,7,12.284,0.022,19.065,1.105,20.174,49.569
285,7,7,7,12.353,0.021,18.943,1.176,20.123,49.695
286,8,8,8,12.319,0.022,18.911,1.231,20.146,49.638
287,10,10,10,12.292,0.02,18.947,1.541,20.491,48.801
288,10,10,10,12.368,0.022,19.734,1.492,21.229,47.105
289,9,9,9,12.401,0.023,19.404,1.314,20.721,48.261
290,7,7,7,12.287,0.025,19.29,1.749,21.043,47.522
291,7,7,7,12.286,0.023,18.804,1.157,19.964,50.09
292,7,7,7,12.308,0.021,18.512,1.125,19.64,50.917
293,9,9,9,12.304,0.021,19.156,1.418,20.577,48.598
294,8,8,8,12.331,0.021,20.327,1.35,21.681,46.124
295,10,10,10,12.365,0.023,19.826,1.579,21.409,46.71
296,11,11,11,13.95,0.023,18.624,1.532,20.16,49.604
297,10,10,10,12.325,0.02,19.012,1.539,20.555,48.649
298,10,10,10,12.29,0.022,19.017,1.485,20.505,48.767
299,11,11,11,12.245,0.022,18.921,1.59,20.514,48.746
300,11,11,11,12.289,0.022,19.269,1.529,20.801,48.074
301,11,11,11,12.379,0.02,23.375,1.483,24.862,40.222
302,11,11,11,12.36,0.027,22.794,1.734,24.531,40.765
303,12,12,12,12.272,0.023,20.046,1.651,21.7,46.083
304,14,14,14,12.263,0.023,19.631,1.956,21.591,46.316
305,14,14,14,12.353,0.022,20.04,2.036,22.08,45.29
306,14,14,14,12.295,0.021,20.116,1.963,22.082,45.286
307,13,13,13,12.306,0.021,19.479,1.821,21.303,46.941
308,11,11,11,13.401,0.02,18.984,1.58,20.568,48.62
309,11,11,11,12.255,0.022,19.975,1.667,21.645,46.2
310,13,13,13,12.34,0.021,19.315,1.847,21.165,47.247
311,11,11,11,12.232,0.021,19.092,1.613,20.707,48.292
312,12,12,12,12.326,0.02,19.29,1.788,21.082,47.434
313,11,11,11,12.228,0.022,19.404,1.74,21.147,47.287
314,12,12,12,12.284,0.02,19.294,1.912,21.21,47.147
315,12,12,12,12.352,0.021,19.712,1.717,21.432,46.658
316,13,13,13,12.385,0.02,19.285,1.789,21.077,47.445
317,13,13,13,12.334,0.022,19.438,1.917,21.357,46.822
318,13,13,13,12.371,0.022,19.529,1.843,21.376,46.781
319,13,13,13,12.388,0.022,19.607,1.923,21.534,46.439
320,15,15,15,12.301,0.02,19.726,2.008,21.737,46.004
321,15,15,15,12.358,0.022,19.731,2.337,22.072,45.307
322,15,15,15,12.374,0.023,20.924,2.099,23.026,43.429
323,12,12,12,12.312,0.023,19.862,1.844,21.708,46.065
324,13,13,13,12.307,0.023,19.281,1.852,21.136,47.312
325,12,12,12,12.314,0.023,19.176,1.698,20.877,47.9
326,12,12,12,12.264,0.023,19.519,1.841,21.363,46.81
327,10,10,10,12.292,0.021,19.067,1.537,20.608,48.526
328,11,11,11,12.326,0.022,19.461,1.55,21.014,47.587
329,10,10,10,12.214,0.024,19.386,1.356,20.745,48.205
330,10,10,10,12.297,0.026,19.476,1.402,20.88,47.892
331,10,10,10,12.361,0.027,19.287,1.541,20.832,48.004
332,10,10,10,12.321,0.022,19.68,1.492,21.176,47.224
333,9,9,9,12.293,0.022,19.357,1.351,20.712,48.282
334,10,10,10,12.248,0.023,19.413,1.361,20.778,48.129
335,9,9,9,12.299,0.022,19.61,1.334,20.947,47.739
336,9,9,9,12.332,0.02,19.309,1.33,20.642,48.445
337,9,9,9,12.296,0.022,19.159,1.295,20.457,48.882
338,9,9,9,12.31,0.022,19.35,1.334,20.687,48.34
339,10,10,10,12.37,0.023,19.658,1.519,21.18,47.215
340,10,10,10,12.376,0.023,19.277,1.504,20.785,48.111
341,11,11,11,12.29,0.022,19.807,1.529,21.34,46.861
342,10,10,10,12.263,0.024,19.465,1.48,20.948,47.736
343,8,8,8,12.271,0.023,19.373,1.242,20.618,48.5
344,9,9,9,12.306,0.021,19.033,1.393,20.429,48.95
345,8,8,8,12.37,0.025,19.178,1.299,20.481,48.826
346,8,8,8,12.378,0.02,19.196,1.234,20.434,48.938
347,6,6,6,12.389,0.023,18.925,1.095,20.023,49.941
348,7,7,7,12.452,0.022,18.908,1.141,20.052,49.871
349,7,7,7,12.436,0.022,18.691,1.111,19.807,50.488
350,8,8,8,13.61,0.023,19.159,1.29,20.453,48.893
351,10,10,10,12.439,0.024,19.863,1.369,21.248,47.063
352,9,9,9,12.348,0.022,26.253,1.323,27.579,36.259
353,9,9,9,12.355,0.029,19.489,1.367,20.86,47.939
354,10,10,10,12.387,0.026,19.417,1.463,20.884,47.884
355,11,11,11,12.346,0.023,19.8,1.662,21.466,46.586
356,12,12,12,12.397,0.022,19.555,1.823,21.382,46.768
