frame,raw_detection_count,target_detection_count,active_track_count,decode_ms,queue_wait_ms,inference_tracking_ms,state_build_ms,consumer_total_ms,instant_consumer_fps
406,11,11,11,12.22,0.028,19.974,1.298,21.276,47.002
407,10,10,10,12.196,0.025,19.621,1.219,20.843,47.977
408,11,11,11,12.179,0.025,19.58,1.323,20.906,47.833
409,12,12,12,12.092,0.023,19.47,1.463,20.936,47.764
410,11,11,11,12.175,0.024,19.876,1.328,21.207,47.154
411,10,10,10,12.236,0.022,20.2,1.218,21.421,46.683
412,12,12,12,12.155,0.023,20.545,1.43,21.979,45.497
413,12,12,12,12.206,0.024,19.853,1.409,21.265,47.026
414,10,10,10,12.175,0.022,20.01,1.283,21.296,46.958
415,12,12,12,12.179,0.022,19.842,1.384,21.229,47.105
416,11,11,11,12.228,0.022,20.139,1.293,21.435,46.652
417,11,11,11,12.304,0.023,20.026,1.404,21.433,46.658
418,11,11,11,12.206,0.024,19.807,1.303,21.114,47.362
419,10,10,10,12.183,0.024,19.823,1.197,21.023,47.567
420,10,10,10,12.193,0.022,19.895,1.209,21.106,47.379
421,11,11,11,12.219,0.022,20.137,1.326,21.467,46.583
422,11,11,11,12.19,0.022,19.97,1.33,21.304,46.94
423,11,11,11,12.349,0.024,19.64,1.29,20.934,47.769
424,9,9,9,12.297,0.023,20.265,1.127,21.395,46.74
425,8,8,8,12.138,0.023,19.68,1.026,20.709,48.288
426,8,8,8,12.159,0.023,20.072,1.03,21.105,47.382
427,9,9,9,12.179,0.023,19.58,1.142,20.726,48.25
428,10,10,10,12.059,0.023,20.173,1.234,21.409,46.709
429,12,12,12,12.107,0.024,19.624,1.423,21.052,47.502
430,10,10,10,12.031,0.026,19.639,1.222,20.865,47.928
