frame,timestamp_sec,capture_ms,infer_track_ms,state_ms,display_ms,total_loop_ms,person_count,average_fps,recent_fps
144,5.025841,1.941,28.978,0.582,0.003,31.520,1,28.848,30.105
145,5.061624,4.860,30.286,0.574,0.003,35.740,1,28.841,30.012
146,5.097523,3.250,32.021,0.577,0.004,35.869,1,28.834,29.923
147,5.130460,0.581,31.720,0.727,0.003,33.047,1,28.843,29.934
148,5.163516,0.654,31.615,0.647,0.003,32.936,1,28.853,29.948
149,5.196501,0.543,31.741,0.622,0.003,32.925,1,28.862,29.961
150,5.227887,1.008,29.701,0.617,0.003,31.346,1,28.880,30.021
151,5.274766,1.489,44.632,0.736,0.003,46.879,1,28.812,21.283
152,5.306051,0.594,29.895,0.383,0.003,30.885,1,28.833,25.668
153,5.335664,0.483,28.710,0.551,0.002,29.758,1,28.859,27.856
154,5.364762,0.528,27.973,0.570,0.003,29.088,1,28.889,29.236
155,5.394364,0.523,28.460,0.517,0.003,29.516,1,28.916,30.054
156,5.426637,2.403,29.301,0.500,0.003,32.224,1,28.929,30.208
157,5.461198,3.870,30.137,0.554,0.003,34.579,1,28.928,30.013
158,5.494217,2.240,30.172,0.576,0.003,33.007,1,28.936,30.044
159,5.532742,1.950,35.943,0.602,0.003,38.515,1,28.916,29.525
160,5.564437,0.533,30.509,0.538,0.004,31.598,1,28.931,29.721
161,5.597146,0.526,31.594,0.580,0.003,32.720,1,28.940,29.793
162,5.630055,0.551,31.723,0.527,0.003,32.819,1,28.949,29.846
163,5.660143,0.524,28.987,0.581,0.003,30.109,1,28.972,30.078
164,5.693403,2.055,30.570,0.552,0.003,33.197,1,28.978,30.079
165,5.726698,2.236,30.453,0.539,0.003,33.247,1,28.984,30.077
166,5.760290,2.402,30.598,0.694,0.003,33.715,1,28.988,30.049
167,5.794013,2.068,30.903,0.549,0.003,33.540,1,28.993,30.033
168,5.828559,2.287,31.652,0.589,0.003,34.550,1,28.992,29.968
169,5.861466,0.941,31.322,0.606,0.003,32.889,1,29.000,29.989
170,5.895333,1.687,31.514,0.634,0.002,33.855,1,29.003,29.965
171,5.927202,0.536,30.647,0.590,0.003,31.791,1,29.016,30.031
172,5.961696,3.626,30.222,0.597,0.003,34.464,1,29.016,29.982
173,5.994590,1.769,30.473,0.581,0.003,32.843,1,29.023,30.000
174,6.027093,1.471,30.395,0.513,0.003,32.398,1,29.033,30.034
175,6.060173,2.619,29.896,0.505,0.003,33.038,1,29.040,30.042
176,6.092678,2.355,29.596,0.497,0.003,32.465,1,29.049,30.070
177,6.126139,2.699,30.216,0.557,0.003,33.491,1,29.053,30.061
178,6.161762,4.104,30.907,0.551,0.003,35.583,1,29.048,29.985
179,6.194628,2.322,29.938,0.552,0.003,32.832,1,29.055,30.000
180,6.226585,2.105,29.246,0.499,0.003,31.867,1,29.067,30.043
181,6.273595,4.146,42.253,0.503,0.003,46.919,1,29.008,21.274
182,6.297128,0.465,22.525,0.530,0.003,23.537,1,29.058,28.342
183,6.320107,1.275,21.125,0.494,0.002,22.909,1,29.111,32.083
184,6.353387,9.753,22.987,0.599,0.002,33.356,1,29.116,31.523
185,6.390085,10.070,25.982,0.484,0.003,36.554,1,29.105,30.586
186,6.426161,6.616,28.928,0.482,0.003,36.043,1,29.098,30.068
187,6.460126,4.282,29.151,0.516,0.004,33.968,1,29.099,29.972
188,6.494834,4.495,29.646,0.559,0.004,34.720,1,29.098,29.817
189,6.529595,1.633,32.515,0.552,0.003,34.719,1,29.096,29.698
190,6.563473,2.595,30.680,0.642,0.003,33.937,1,29.098,29.672
191,6.594292,0.530,29.592,0.492,0.003,30.629,1,29.114,29.916
192,6.621497,2.416,24.252,0.137,0.003,26.822,0,29.147,30.415
193,6.661295,9.113,30.495,0.465,0.003,40.092,1,29.121,29.908
194,6.687562,1.760,23.985,0.180,0.003,25.946,0,29.158,30.392
195,6.728209,9.331,31.076,0.627,0.003,41.055,1,29.128,29.896
196,6.764237,1.968,33.373,0.621,0.003,35.981,1,29.121,29.753
197,6.796742,0.558,31.268,0.585,0.004,32.430,1,29.129,29.812
198,6.829809,0.552,31.875,0.715,0.004,33.164,1,29.134,29.829
199,6.857816,0.849,26.382,0.138,0.003,27.390,0,29.163,30.118
200,6.896476,6.685,31.779,0.615,0.003,39.101,1,29.143,29.851
201,6.927462,0.519,29.798,0.564,0.003,30.898,1,29.157,29.960
202,6.960411,2.089,30.245,0.516,0.003,32.868,1,29.163,29.979
203,6.995003,3.756,30.269,0.597,0.003,34.642,1,29.161,29.928
204,7.028778,2.304,30.818,0.617,0.003,33.759,1,29.163,29.914
205,7.063230,2.592,31.185,0.696,0.003,34.495,1,29.162,29.874
206,7.095829,0.554,31.290,0.591,0.003,32.454,1,29.170,29.908
207,7.128510,0.691,31.342,0.627,0.003,32.681,1,29.176,29.932
208,7.162698,2.627,30.875,0.631,0.003,34.154,1,29.176,29.907
209,7.196609,0.888,32.334,0.609,0.003,33.850,1,29.178,29.893
210,7.229998,1.293,31.432,0.639,0.004,33.384,1,29.181,29.894
211,7.277401,0.565,46.066,0.547,0.003,47.196,1,29.129,21.143
212,7.309845,0.759,31.087,0.496,0.003,32.358,1,29.137,25.097
213,7.345295,0.540,34.366,0.531,0.003,35.453,1,29.132,26.047
214,7.373879,0.536,27.469,0.557,0.003,28.577,1,29.155,27.819
215,7.403571,0.479,28.610,0.987,0.003,30.092,1,29.171,28.751
216,7.433010,0.448,27.959,0.507,0.003,28.930,1,29.192,29.576
217,7.464997,0.539,30.894,0.504,0.003,31.953,1,29.201,29.806
218,7.495610,0.497,29.566,0.639,0.003,30.720,1,29.215,30.121
219,7.527291,0.518,30.473,0.608,0.003,31.615,1,29.225,30.278
220,7.560435,1.534,30.951,0.557,0.004,33.062,1,29.229,30.272
221,7.595420,2.071,32.305,0.647,0.003,35.042,1,29.226,30.103
222,7.627001,0.719,30.161,0.577,0.003,31.477,1,29.236,30.232
223,7.659942,2.141,30.168,0.562,0.003,32.889,1,29.241,30.243
224,7.694172,2.736,30.878,0.564,0.003,34.196,1,29.241,30.167
225,7.727613,1.819,31.002,0.633,0.003,33.474,1,29.243,30.145
226,7.760627,1.599,30.731,0.601,0.003,32.950,1,29.248,30.156
227,7.794038,2.115,30.638,0.569,0.003,33.340,1,29.251,30.144
228,7.829661,3.674,31.328,0.638,0.003,35.661,1,29.245,30.018
229,7.862304,0.545,31.404,0.750,0.003,32.719,1,29.251,30.044
230,7.894246,0.550,30.586,0.621,0.002,31.776,1,29.260,30.111
231,7.928712,2.523,31.265,0.634,0.003,34.442,1,29.258,30.056
232,7.963651,1.099,33.146,0.652,0.003,34.917,1,29.256,29.987
233,7.995840,0.560,30.918,0.609,0.003,32.106,1,29.263,30.034
234,8.027839,0.774,30.563,0.536,0.003,31.892,1,29.271,30.086
235,8.061016,1.672,30.918,0.555,0.002,33.163,1,29.275,30.087
236,8.094419,2.402,30.395,0.568,0.002,33.381,1,29.277,30.081
237,8.127398,1.663,30.697,0.610,0.002,32.989,1,29.281,30.088
238,8.160448,1.671,30.717,0.549,0.003,32.955,1,29.286,30.096
239,8.194573,2.193,31.330,0.626,0.003,34.169,1,29.285,30.066
240,8.228032,1.874,30.897,0.621,0.003,33.412,1,29.288,30.060
241,8.274464,0.991,44.688,0.385,0.003,46.079,1,29.245,21.652
242,8.307092,0.484,31.720,0.666,0.003,32.888,1,29.250,25.286
243,8.339108,0.587,30.707,0.383,0.002,31.691,1,29.258,27.069
244,8.373434,1.078,32.825,0.713,0.003,34.637,1,29.257,27.494
245,8.405812,0.557,31.051,0.377,0.002,31.997,1,29.264,28.165
246,8.439159,0.467,32.467,0.389,0.002,33.334,1,29.267,28.452
247,8.473679,1.081,33.012,0.590,0.003,34.702,1,29.265,28.501
248,8.506861,0.542,31.998,0.559,0.003,33.118,1,29.269,28.699
249,8.542469,0.619,34.376,0.607,0.004,35.621,1,29.263,28.625
250,8.574222,0.613,30.481,0.560,0.003,31.672,1,29.272,28.892
251,8.606872,0.560,31.475,0.528,0.002,32.581,1,29.277,29.044
252,8.640366,0.582,32.335,0.545,0.003,33.479,1,29.279,29.109
253,8.673211,0.544,31.703,0.562,0.002,32.826,1,29.284,29.206
254,8.706985,0.531,32.631,0.582,0.002,33.762,1,29.285,29.233
255,8.740180,0.590,31.971,0.536,0.003,33.115,1,29.288,29.294
256,8.773658,0.537,32.356,0.586,0.003,33.495,1,29.290,29.327
257,8.805921,0.542,31.083,0.375,0.003,32.012,1,29.297,29.431
258,8.839106,0.464,32.309,0.549,0.061,33.397,1,29.300,29.460
259,8.870577,0.541,30.269,0.747,0.003,31.572,1,29.308,29.565
260,8.899751,0.511,27.870,0.573,0.002,28.971,1,29.325,29.777
261,8.929764,0.538,28.850,0.546,0.003,29.952,1,29.338,29.930
262,8.959851,0.515,28.975,0.493,0.003,29.999,1,29.352,30.068
263,8.993089,2.495,30.203,0.529,0.003,33.244,1,29.354,30.067
264,9.026112,2.420,29.856,0.538,0.003,32.832,1,29.358,30.076
265,9.061859,4.861,30.293,0.564,0.003,35.738,1,29.352,29.985
266,9.096028,0.527,33.027,0.538,0.003,34.110,1,29.352,29.957
267,9.131513,2.161,32.734,0.683,0.003,35.599,1,29.347,29.883
268,9.164980,0.571,32.156,0.528,0.003,33.272,1,29.349,29.888
269,9.196583,0.528,30.498,0.521,0.003,31.564,1,29.357,29.945
270,9.228916,0.931,30.830,0.531,0.003,32.311,1,29.363,29.977
271,9.276367,0.517,46.287,0.596,0.003,47.418,1,29.320,21.050
272,9.307644,0.717,29.908,0.586,0.003,31.230,1,29.329,25.390
273,9.338130,0.584,29.260,0.374,0.002,30.232,1,29.341,27.511
274,9.368457,0.474,29.442,0.710,0.003,30.643,1,29.352,28.631
275,9.397873,0.559,28.090,0.573,0.003,29.240,1,29.367,29.588
276,9.428583,0.525,29.561,0.568,0.003,30.672,1,29.377,30.046
277,9.460382,0.794,30.385,0.852,0.003,32.050,1,29.383,30.202
278,9.492992,1.602,30.104,0.609,0.003,32.334,1,29.388,30.287
279,9.526964,2.818,30.489,0.887,0.003,34.215,1,29.388,30.162
280,9.560198,1.776,30.513,0.862,0.003,33.171,1,29.390,30.157
281,9.594034,2.385,30.529,0.565,0.003,33.498,1,29.392,30.125
282,9.627019,1.725,30.643,0.539,0.003,32.927,1,29.395,30.143
283,9.662189,2.310,32.266,0.605,0.003,35.201,1,29.391,30.000
284,9.694040,0.721,30.466,0.546,0.003,31.752,1,29.398,30.099
285,9.728230,2.389,31.200,0.595,0.003,34.203,1,29.397,30.038
286,9.764990,0.542,35.570,0.598,0.004,36.729,1,29.389,29.843
287,9.796550,0.562,30.342,0.579,0.003,31.502,1,29.396,29.947
288,9.828631,0.548,30.901,0.565,0.003,32.032,1,29.402,30.013
289,9.859580,0.547,29.786,0.760,0.003,31.111,1,29.411,30.117
290,9.892946,2.218,30.328,0.543,0.002,33.108,1,29.413,30.119
291,9.928083,2.862,31.677,0.565,0.003,35.124,1,29.410,30.035
292,9.962224,1.454,32.068,0.540,0.003,34.081,1,29.410,30.001
293,9.996635,0.529,33.289,0.620,0.003,34.456,1,29.408,29.956
294,10.031358,1.757,32.288,0.681,0.003,34.747,1,29.406,29.903
295,10.064515,0.558,31.859,0.592,0.003,33.030,1,29.409,29.917
296,10.097284,0.566,31.554,0.620,0.003,32.759,1,29.412,29.939
297,10.130629,0.561,32.106,0.519,0.003,33.202,1,29.414,29.944
298,10.162880,0.575,31.109,0.626,0.003,32.328,1,29.419,29.977
299,10.194386,0.599,30.224,0.566,0.003,31.407,1,29.426,30.036
300,10.226716,1.376,30.335,0.535,0.003,32.264,1,29.431,30.066
301,10.278201,2.567,48.255,0.626,0.002,51.465,1,29.381,19.393
302,10.307171,0.513,27.791,0.594,0.003,28.915,1,29.395,24.844
303,10.339662,0.570,31.273,0.663,0.003,32.525,1,29.399,26.534
304,10.371600,0.574,30.645,0.688,0.003,31.925,1,29.405,27.581
305,10.406503,0.561,33.599,0.571,0.003,34.750,1,29.403,27.807
306,10.439635,0.620,31.885,0.662,0.003,33.186,1,29.405,28.164
307,10.472678,0.576,31.747,0.581,0.003,32.923,1,29.408,28.456
308,10.504861,0.573,30.975,0.392,0.003,31.954,1,29.414,28.778
309,10.536274,0.455,30.528,0.936,0.002,31.933,1,29.420,29.037
310,10.567787,0.492,30.045,0.564,0.003,31.118,1,29.427,29.318
311,10.599907,0.536,30.970,0.547,0.003,32.071,1,29.433,29.475
312,10.630275,0.534,29.237,0.557,0.003,30.345,1,29.443,29.735
313,10.660935,0.541,29.509,0.552,0.003,30.619,1,29.452,29.938
314,10.692886,1.302,30.046,0.591,0.003,31.958,1,29.457,30.029
315,10.726434,2.924,29.977,0.566,0.003,33.486,1,29.458,30.016
316,10.759832,2.245,30.534,0.583,0.003,33.380,1,29.460,30.010
