07-12-2026 04:20:13 RAM 3115/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,8%@729,0%@729,0%@729,100%@1344,0%@1344] EMC_FREQ 8%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.343C soc2@47.625C soc0@48.531C gpu@48.093C tj@48.531C soc1@47.218C VDD_IN 4200mW/4451mW VDD_CPU_GPU_CV 1040mW/1222mW VDD_SOC 1120mW/1158mW
07-12-2026 04:20:13 RAM 3117/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,8%@729,8%@729,100%@1344,0%@1344] EMC_FREQ 7%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.406C soc2@47.625C soc0@48.531C gpu@48.468C tj@48.531C soc1@47.187C VDD_IN 4166mW/4439mW VDD_CPU_GPU_CV 1040mW/1215mW VDD_SOC 1121mW/1157mW
07-12-2026 04:20:13 RAM 3119/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,100%@1344,0%@1344] EMC_FREQ 7%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.25C soc2@47.562C soc0@48.375C gpu@48.312C tj@48.375C soc1@47.25C VDD_IN 4166mW/4428mW VDD_CPU_GPU_CV 1040mW/1208mW VDD_SOC 1121mW/1155mW
07-12-2026 04:20:13 RAM 3122/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [8%@729,16%@729,9%@729,8%@729,100%@1344,0%@1344] EMC_FREQ 7%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.312C soc2@47.593C soc0@48.468C gpu@48.156C tj@48.468C soc1@47.218C VDD_IN 4166mW/4418mW VDD_CPU_GPU_CV 1040mW/1201mW VDD_SOC 1121mW/1154mW
07-12-2026 04:20:13 RAM 3125/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [9%@729,25%@729,8%@729,0%@729,100%@1344,0%@1344] EMC_FREQ 7%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.5C soc2@47.562C soc0@48.343C gpu@48.031C tj@48.5C soc1@47.375C VDD_IN 4200mW/4410mW VDD_CPU_GPU_CV 1080mW/1197mW VDD_SOC 1120mW/1153mW
07-12-2026 04:20:13 RAM 3128/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,16%@729,0%@729,100%@1344,0%@1344] EMC_FREQ 7%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.437C soc2@47.656C soc0@48.468C gpu@47.968C tj@48.468C soc1@47.343C VDD_IN 4200mW/4402mW VDD_CPU_GPU_CV 1080mW/1192mW VDD_SOC 1120mW/1152mW
07-12-2026 04:20:13 RAM 3130/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,8%@729,0%@729,100%@1344,0%@1344] EMC_FREQ 7%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.468C soc2@47.687C soc0@48.406C gpu@48.218C tj@48.468C soc1@47.281C VDD_IN 4166mW/4394mW VDD_CPU_GPU_CV 1080mW/1189mW VDD_SOC 1120mW/1150mW
07-12-2026 04:20:13 RAM 3132/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,8%@729,91%@1344,0%@1344] EMC_FREQ 7%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.343C soc2@47.562C soc0@48.531C gpu@48.187C tj@48.531C soc1@47.281C VDD_IN 4166mW/4387mW VDD_CPU_GPU_CV 1080mW/1185mW VDD_SOC 1121mW/1149mW
07-12-2026 04:20:13 RAM 3136/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [100%@1344,15%@1344,0%@1344,16%@1344,0%@729,0%@729] EMC_FREQ 6%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.343C soc2@47.593C soc0@48.375C gpu@48.062C tj@48.375C soc1@47.156C VDD_IN 4166mW/4379mW VDD_CPU_GPU_CV 1040mW/1180mW VDD_SOC 1121mW/1149mW
07-12-2026 04:20:14 RAM 3135/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [18%@729,0%@729,16%@729,0%@729,90%@1344,0%@1344] EMC_FREQ 7%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.125C soc2@47.593C soc0@48.406C gpu@47.968C tj@48.406C soc1@47.187C VDD_IN 4200mW/4374mW VDD_CPU_GPU_CV 998mW/1175mW VDD_SOC 1160mW/1149mW
07-12-2026 04:20:14 RAM 3136/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [8%@729,15%@729,0%@729,0%@729,100%@1344,0%@1344] EMC_FREQ 7%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.5C soc2@47.531C soc0@48.5C gpu@48.343C tj@48.5C soc1@47.312C VDD_IN 4166mW/4368mW VDD_CPU_GPU_CV 1000mW/1169mW VDD_SOC 1160mW/1149mW
07-12-2026 04:20:14 RAM 3140/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [10%@729,0%@729,0%@729,8%@729,100%@1344,0%@1344] EMC_FREQ 7%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.437C soc2@47.593C soc0@48.343C gpu@48.125C tj@48.437C soc1@47.343C VDD_IN 4166mW/4362mW VDD_CPU_GPU_CV 1000mW/1164mW VDD_SOC 1160mW/1150mW
07-12-2026 04:20:14 RAM 3145/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [16%@729,0%@729,0%@729,0%@729,100%@1344,0%@1344] EMC_FREQ 7%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.468C soc2@47.656C soc0@48.375C gpu@48.031C tj@48.468C soc1@47.281C VDD_IN 4166mW/4356mW VDD_CPU_GPU_CV 1000mW/1160mW VDD_SOC 1120mW/1149mW
07-12-2026 04:20:14 RAM 3152/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [25%@729,0%@729,0%@729,9%@729,100%@1344,0%@1344] EMC_FREQ 7%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.375C soc2@47.625C soc0@48.437C gpu@47.906C tj@48.437C soc1@47.281C VDD_IN 4160mW/4351mW VDD_CPU_GPU_CV 1038mW/1156mW VDD_SOC 1160mW/1149mW
07-12-2026 04:20:14 RAM 3158/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [16%@729,15%@729,9%@729,0%@729,100%@1344,0%@1344] EMC_FREQ 7%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.375C soc2@47.625C soc0@48.625C gpu@48.343C tj@48.625C soc1@47.281C VDD_IN 4200mW/4347mW VDD_CPU_GPU_CV 1038mW/1153mW VDD_SOC 1160mW/1149mW
07-12-2026 04:20:14 RAM 3163/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [8%@1344,0%@729,0%@729,0%@729,100%@1344,0%@1344] EMC_FREQ 7%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.312C soc2@47.531C soc0@48.437C gpu@48.187C tj@48.531C soc1@47.25C VDD_IN 4160mW/4342mW VDD_CPU_GPU_CV 1040mW/1150mW VDD_SOC 1120mW/1149mW
07-12-2026 04:20:14 RAM 3163/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [8%@729,0%@729,8%@729,0%@729,100%@1344,0%@1344] EMC_FREQ 7%@665 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.125C soc2@47.625C soc0@48.5C gpu@48.031C tj@48.5C soc1@47.093C VDD_IN 4160mW/4337mW VDD_CPU_GPU_CV 998mW/1146mW VDD_SOC 1160mW/1149mW
07-12-2026 04:20:14 RAM 3163/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,8%@729,0%@729,8%@729,100%@1344,0%@1344] EMC_FREQ 7%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.125C soc2@47.593C soc0@48.5C gpu@48.218C tj@48.5C soc1@47.218C VDD_IN 4160mW/4333mW VDD_CPU_GPU_CV 960mW/1142mW VDD_SOC 1160mW/1149mW
07-12-2026 04:20:15 RAM 3167/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,100%@1344,0%@1344] EMC_FREQ 7%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.156C soc2@47.562C soc0@48.468C gpu@48.125C tj@48.468C soc1@47.187C VDD_IN 4126mW/4328mW VDD_CPU_GPU_CV 960mW/1137mW VDD_SOC 1160mW/1149mW
07-12-2026 04:20:15 RAM 3170/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,8%@729,100%@1344,0%@1344] EMC_FREQ 7%@665 GR3D_FREQ 30%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.375C soc2@47.562C soc0@48.437C gpu@48.031C tj@48.437C soc1@47.375C VDD_IN 4166mW/4324mW VDD_CPU_GPU_CV 1000mW/1134mW VDD_SOC 1160mW/1150mW
07-12-2026 04:20:15 RAM 3175/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [16%@729,8%@729,0%@729,0%@729,100%@1344,0%@1344] EMC_FREQ 7%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.187C soc2@47.562C soc0@48.406C gpu@48.406C tj@48.406C soc1@47.281C VDD_IN 4166mW/4320mW VDD_CPU_GPU_CV 1000mW/1131mW VDD_SOC 1160mW/1150mW
07-12-2026 04:20:15 RAM 3178/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [8%@729,0%@729,7%@729,8%@729,100%@1344,0%@1344] EMC_FREQ 7%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.281C soc2@47.593C soc0@48.375C gpu@48.312C tj@48.343C soc1@47.281C VDD_IN 4166mW/4316mW VDD_CPU_GPU_CV 1040mW/1129mW VDD_SOC 1120mW/1149mW
07-12-2026 04:20:15 RAM 3180/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [27%@729,0%@729,0%@729,9%@729,100%@1344,0%@1344] EMC_FREQ 7%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.5C soc2@47.562C soc0@48.437C gpu@48.093C tj@48.5C soc1@47.25C VDD_IN 4160mW/4313mW VDD_CPU_GPU_CV 1040mW/1127mW VDD_SOC 1120mW/1149mW
07-12-2026 04:20:15 RAM 3182/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,15%@729,0%@729,9%@729,100%@1344,0%@1344] EMC_FREQ 7%@665 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.437C soc2@47.562C soc0@48.562C gpu@48C tj@48.562C soc1@47.218C VDD_IN 4166mW/4310mW VDD_CPU_GPU_CV 1040mW/1125mW VDD_SOC 1120mW/1148mW
07-12-2026 04:20:15 RAM 3186/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,8%@729,100%@1344,0%@1344] EMC_FREQ 6%@665 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.281C soc2@47.656C soc0@48.531C gpu@48.031C tj@48.531C soc1@47.187C VDD_IN 4166mW/4307mW VDD_CPU_GPU_CV 1040mW/1123mW VDD_SOC 1121mW/1147mW
